Weights
[[-0.56262885+0.j  1.39403707+0.j -2.5360569 +0.j -1.47868126+0.j]]
[[-0.5684587 +0.j  1.38902282+0.j -2.54552271+0.j -1.46375191+0.j]]
[[-0.57549941+0.j  1.38764005+0.j -2.54028964+0.j -1.47029459+0.j]]
[[-0.56960126+0.j  1.3881803 +0.j -2.5434512 +0.j -1.46943537+0.j]]
[[-0.56430052+0.j  1.4062712 +0.j -2.52876092+0.j -1.47758597+0.j]]
[[-0.55781707+0.j  1.40108445+0.j -2.54506284+0.j -1.4604928 +0.j]]
[[-0.57571865+0.j  1.38795642+0.j -2.5456259 +0.j -1.46477215+0.j]]
[[-0.56118359+0.j  1.3890759 +0.j -2.5497783 +0.j -1.46164661+0.j]]
[[-0.56759955+0.j  1.38718697+0.j -2.54466028+0.j -1.47066604+0.j]]
[[-0.55470216+0.j  1.38913603+0.j -2.54675248+0.j -1.47042579+0.j]]
[[-0.56674172+0.j  1.40258833+0.j -2.53198379+0.j -1.47541104+0.j]]
[[-0.56092043+0.j  1.39473612+0.j -2.54940269+0.j -1.45889205+0.j]]
[[-0.55759561+0.j  1.3874584 +0.j -2.54746107+0.j -1.47009503+0.j]]
[[-0.55386089+0.j  1.40510524+0.j -2.53244651+0.j -1.47738426+0.j]]
[[-0.57204664+0.j  1.40092495+0.j -2.53234358+0.j -1.47270911+0.j]]
[[-0.58182224+0.j  1.38073527+0.j -2.53659173+0.j -1.48292995+0.j]]
[[-0.5533742 +0.j  1.38807632+0.j -2.54475244+0.j -1.474144  +0.j]]
[[-0.56264149+0.j  1.39154977+0.j -2.54122098+0.j -1.4687366 +0.j]]
[[-0.56524606+0.j  1.37856662+0.j -2.53652044+0.j -1.49003762+0.j]]
[[-0.57331119+0.j  1.3961525 +0.j -2.54002375+0.j -1.46693189+0.j]]
[[-0.56079414+0.j  1.39956317+0.j -2.54203357+0.j -1.46313795+0.j]]
[[-0.56389588+0.j  1.3993976 +0.j -2.5476288 +0.j -1.45703918+0.j]]
[[-0.55896715+0.j  1.38107111+0.j -2.54153579+0.j -1.48166975+0.j]]
[[-0.56015666+0.j  1.40445056+0.j -2.53848765+0.j -1.46712214+0.j]]
[[-0.56708699+0.j  1.39555433+0.j -2.5494045 +0.j -1.45364147+0.j]]
[[-0.57046213+0.j  1.38013246+0.j -2.55536664+0.j -1.45988882+0.j]]
[[-0.56593586+0.j  1.4043459 +0.j -2.52841089+0.j -1.47959029+0.j]]
[[-0.57441175+0.j  1.3858225 +0.j -2.54040102+0.j -1.47277095+0.j]]
[[-0.57429045+0.j  1.39902226+0.j -2.53288951+0.j -1.47547423+0.j]]
[[-0.57371458+0.j  1.39217631+0.j -2.54592379+0.j -1.45821026+0.j]]
